Symbol,Fund Name,AMC,Project ID,Status,Registration Date,Cancel Date
"ASP-ThaiESG","Asset Plus Equity Thailand ESG Fund","ASSET PLUS FUND MANAGEMENT COMPANY LIMITED","M0804_2566","RG","2023-12-22","-"
"B-EQ-THAIESG","Bualuang Equity Thailand ESG Fund","BBL ASSET MANAGEMENT COMPANY LIMITED","M0698_2567","RG","2024-11-01","-"
"B-MIXED-THAIESG","Bualuang Mixed Thailand ESG Fund","BBL ASSET MANAGEMENT COMPANY LIMITED","M0694_2567","RG","2024-11-01","-"
"B-SI-THAIESG","Bualuang Sovereign Instruments Thailand ESG Fund","BBL ASSET MANAGEMENT COMPANY LIMITED","M0092_2567","RG","2024-04-11","-"
"B-TOP-THAIESG","Bualuang Top-Ten Thailand ESG Fund","BBL ASSET MANAGEMENT COMPANY LIMITED","M0770_2566","RG","2023-12-19","-"
"ES-ESG3070","Eastspring ESG Mixed 30/70 Fund","EASTSPRING ASSET MANAGEMENT (THAILAND) COMPANY LIMITED","M0730_2567","RG","2024-10-31","-"
"ES-GLOBALESG","Eastspring Global Sustainable Equity Fund","EASTSPRING ASSET MANAGEMENT (THAILAND) COMPANY LIMITED","M0383_2562","RG","2019-08-26","-"
"ES-SETESG","EASTSPRING SETESG Fund","EASTSPRING ASSET MANAGEMENT (THAILAND) COMPANY LIMITED","M0815_2566","RG","2023-12-20","-"
"FP ThaiESG","First Plus Thailand ESG Fund","FIRST PLUS ASSET MANAGEMENT (THAILAND) COMPANY LIMITED","M0844_2566","RG","2023-12-13","-"
"K-BL30","K ESG Balanced 30 Fund","KASIKORN ASSET MANAGEMENT COMPANY LIMITED","M0776_2567","RG","2024-12-04","-"
"K-ESGBF","K ESG Bond Fund","KASIKORN ASSET MANAGEMENT COMPANY LIMITED","M0838_2568","SE","-","-"
"K-ESGSI","K ESG Sovereign Instruments Fund","KASIKORN ASSET MANAGEMENT COMPANY LIMITED","M0095_2567","RG","2024-07-03","-"
"KFCLIMA","Krungsri ESG Climate Tech Fund","KRUNGSRI ASSET MANAGEMENT COMPANY LIMITED","M0060_2564","RG","2021-03-18","-"
"KFCLIMASSF","Krungsri ESG Climate Tech SSF","KRUNGSRI ASSET MANAGEMENT COMPANY LIMITED","M0384_2564","RG","2021-10-14","-"
"KFESG","Krungsri Equity Sustainable Global Growth Fund","KRUNGSRI ASSET MANAGEMENT COMPANY LIMITED","M0272_2564","RG","2021-08-26","-"
"KFESGSSF","Krungsri Equity Sustainable Global Growth SSF","KRUNGSRI ASSET MANAGEMENT COMPANY LIMITED","M0398_2565","RG","2022-09-14","-"
"KFGBTHAIESG","Krungsri Government Bond Thailand ESG Fund","KRUNGSRI ASSET MANAGEMENT COMPANY LIMITED","M0522_2567","RG","2024-08-07","-"
"KFTHAIESG","Krungsri Enhanced SET Thailand ESG Fund","KRUNGSRI ASSET MANAGEMENT COMPANY LIMITED","M0820_2566","RG","2023-12-20","-"
"KKP EQ THAI ESG","KKP EQUITY THAILAND ESG FUND","KIATNAKIN PHATRA ASSET MANAGEMENT COMPANY LIMITED","M0851_2566","RG","2023-12-15","-"
"KKP GB THAI ESG","KKP GOVERNMENT BOND THAILAND ESG FUND","KIATNAKIN PHATRA ASSET MANAGEMENT COMPANY LIMITED","M0840_2566","RG","2023-12-15","-"
"KKP SET50 ESG FUND","KKP SET50 ESG FUND","KIATNAKIN PHATRA ASSET MANAGEMENT COMPANY LIMITED","M0164_2563","RG","2020-04-10","-"
"KT-ESG","Krungthai Korkarndee ESG Fund","KRUNG THAI ASSET MANAGEMENT PUBLIC COMPANY LIMITED","M0591_2562","RG","2019-10-30","-"
"KT-GESG","KTAM Global Sustainable Growth Equity Fund","KRUNG THAI ASSET MANAGEMENT PUBLIC COMPANY LIMITED","M0542_2564","RG","2022-02-10","-"
"KTAG","Krungthai ESG A Grade Fund","KRUNG THAI ASSET MANAGEMENT PUBLIC COMPANY LIMITED","M0821_2566","RG","2023-12-19","-"
"KTAG70/30","Krungthai ESG A Grade 70/30 Fund","KRUNG THAI ASSET MANAGEMENT PUBLIC COMPANY LIMITED","M0846_2566","RG","2023-12-19","-"
"KTESG50","Krungthai ESG50 Fund","KRUNG THAI ASSET MANAGEMENT PUBLIC COMPANY LIMITED","M0854_2566","RG","2023-12-19","-"
"KTESGS","Krungthai Korkarndee ESG Super Savings Fund","KRUNG THAI ASSET MANAGEMENT PUBLIC COMPANY LIMITED","M0157_2563","RG","2020-04-09","-"
"KTESGSI","Krung Thai ESG Sovereign Instruments Fund","KRUNG THAI ASSET MANAGEMENT PUBLIC COMPANY LIMITED","M0691_2567","RG","2024-10-18","-"
"LHESG","LH THAI ESG FUND","LAND AND HOUSES FUND MANAGEMENT COMPANY LIMITED","M0066_2562","LI","2019-03-28","2021-03-30"
"LHESGMULTI","LH ESG MULTI ASSET FUND","LAND AND HOUSES FUND MANAGEMENT COMPANY LIMITED","M0173_2565","EX","-","-"
"LHSITHAIESG","LH SOVEREIGN INSTRUMENTS THAILAND ESG FUND","LAND AND HOUSES FUND MANAGEMENT COMPANY LIMITED","M0801_2567","RG","2024-11-29","-"
"LHTHAIESG","LH THAILAND ESG FUND","LAND AND HOUSES FUND MANAGEMENT COMPANY LIMITED","M0810_2566","RG","2023-12-21","-"
"M-TESG","MFC Thai ESG Fund","MFC ASSET MANAGEMENT PUBLIC COMPANY LIMITED","M0738_2562","EX","-","-"
"MEGA20THAIESG","MEGA 20 THAILAND ESG FUND","TALIS ASSET MANAGEMENT COMPANY LIMITED","M0822_2566","RG","2023-12-18","-"
"MFLEX-ThaiESG","MFC Flexible Thailand ESG Fund","MFC ASSET MANAGEMENT PUBLIC COMPANY LIMITED","M0849_2566","RG","2023-12-21","-"
"MSOV-ThaiESG","MFC Sovereign Instruments Thailand ESG Fund","MFC ASSET MANAGEMENT PUBLIC COMPANY LIMITED","M0703_2567","RG","2024-11-12","-"
"MT25-ThaiESG","MFC Equity Top 25 Thailand ESG Fund","MFC ASSET MANAGEMENT PUBLIC COMPANY LIMITED","M0836_2566","RG","2023-12-21","-"
"ONE-APACESG","ONE ASIA PACIFIC ESG FUND","ONE ASSET MANAGEMENT LIMITED","M0291_2564","RG","2021-08-05","-"
"ONE-THAIESG","ONE EQUITY THAILAND ESG FUND","ONE ASSET MANAGEMENT LIMITED","M0818_2566","RG","2023-12-18","-"
"PRINCIPAL EQESG","Principal Equity ESG Fund","PRINCIPAL ASSET MANAGEMENT COMPANY LIMITED","M0845_2566","RG","2023-12-22","-"
"PRINCIPAL GESG","Principal Global Equity ESG Fund","PRINCIPAL ASSET MANAGEMENT COMPANY LIMITED","M0122_2565","RG","2022-05-20","-"
"PRINCIPAL GPCESG","Principal Global Positive Change ESG Fund","PRINCIPAL ASSET MANAGEMENT COMPANY LIMITED","M0541_2564","EX","-","-"
"SCBGEESG","SCB Global Sustainable Equity Fund","SCB ASSET MANAGEMENT COMPANY LIMITED","M0534_2563","RG","2020-11-30","-"
"SCBTB","SCB Thai Sustainability Bond Fund","SCB ASSET MANAGEMENT COMPANY LIMITED","M0571_2567","RG","2024-09-17","-"
"T-ThaiESG","TISCO Equity Thailand ESG Fund","TISCO ASSET MANAGEMENT COMPANY LIMITED","M0793_2566","RG","2023-12-19","-"
"TDSThaiESG","TISCO Dividend Select Equity Thailand ESG Fund","TISCO ASSET MANAGEMENT COMPANY LIMITED","M0793_2567","RG","2024-11-21","-"
"TGESG","TISCO Global Sustainable Equity Fund","TISCO ASSET MANAGEMENT COMPANY LIMITED","M0212_2561","RG","2018-10-11","-"
"TISCOESG","TISCO ESG Investment Equity Fund","TISCO ASSET MANAGEMENT COMPANY LIMITED","M0163_2560","EX","-","-"
"TISCOESG","TISCO ESG Investment Equity Fund","TISCO ASSET MANAGEMENT COMPANY LIMITED","M0636_2559","EX","-","-"
"TISCOESG","TISCO ESG Investment Equity Fund","TISCO ASSET MANAGEMENT COMPANY LIMITED","M0757_2558","EX","-","-"
"TISESG","TISCO ESG Investment Fund","TISCO ASSET MANAGEMENT COMPANY LIMITED","M0489_2558","RG","2015-10-21","-"
"TSIThaiESG","TISCO Sovereign Instruments Thailand ESG Fund","TISCO ASSET MANAGEMENT COMPANY LIMITED","M0559_2567","RG","2024-10-16","-"